"tmlfrm","tmltto","distance"
tml_00000,tml_00001,200
tml_00000,tml_00002,133
tml_00000,tml_00003,58
tml_00000,tml_00004,308
tml_00000,tml_00005,72
tml_00001,tml_00000,206
tml_00001,tml_00002,103
tml_00001,tml_00003,189
tml_00001,tml_00004,109
tml_00001,tml_00005,171
tml_00002,tml_00000,125
tml_00002,tml_00001,102
tml_00002,tml_00003,101
tml_00002,tml_00004,187
tml_00002,tml_00005,88
tml_00003,tml_00000,66
tml_00003,tml_00001,185
tml_00003,tml_00002,100
tml_00003,tml_00004,278
tml_00003,tml_00005,14
tml_00004,tml_00000,300
tml_00004,tml_00001,116
tml_00004,tml_00002,196
tml_00004,tml_00003,277
tml_00004,tml_00005,265
tml_00005,tml_00000,68
tml_00005,tml_00001,177
tml_00005,tml_00002,85
tml_00005,tml_00003,13
tml_00005,tml_00004,267
