From,To,Starting Node,Arc Unit Cost,Vehicle Cost,Q_11,Q_8,Q_2.5,Real Quantity,Maxium Quantity,Remaining Capacities
0,2,0,26,129.00000000000003,7.0,2.0,0.0,91,93.0,0
0,3,0,58,57.0,3.0,1.0,0.0,40,41.0,0
0,4,0,61,42.0,2.0,1.0,0.0,30,30.0,56
0,5,0,72,15.0,1.0,0.0,0.0,11,11.0,37
1,2,1,20,99.0,5.0,2.0,0.0,70,71.0,0
1,4,1,21,99.0,5.0,2.0,0.0,69,71.0,0
1,5,1,171,45.0,3.0,0.0,0.0,33,33.0,10
2,0,6,75,93.0,3.0,4.0,0.0,59,65.0,74
2,1,5,60,102.0,6.0,1.0,0.0,67,74.0,40
2,3,3,60,96.0,4.0,3.0,0.0,62,68.0,134
2,4,2,37,51.0,1.0,3.0,0.0,34,35.0,60
2,5,3,51,101.0,3.0,4.0,1.0,67,67.0,147
3,0,3,66,8.0,0.0,0.0,1.0,2,2.0,47
3,2,3,20,72.0,4.0,1.0,0.0,51,52.0,48
3,4,3,55,75.0,5.0,0.0,0.0,53,55.0,12
3,5,3,14,69.00000000000001,3.0,2.0,0.0,47,49.0,1
4,0,5,120,84.0,4.0,2.0,0.0,59,60.0,95
4,1,7,46,75.0,5.0,0.0,0.0,51,55.0,31
4,2,4,39,45.0,3.0,0.0,0.0,33,33.0,33
4,3,4,55,42.0,2.0,1.0,0.0,30,30.0,50
4,5,4,53,57.000000000000014,3.0,1.0,0.0,41,41.0,32
5,0,5,68,42.0,2.0,1.0,0.0,29,30.0,19
5,1,9,354,57.0,3.0,1.0,0.0,40,41.0,36
5,2,5,17,57.000000000000014,3.0,1.0,0.0,41,41.0,55
5,3,5,13,51.0,1.0,3.0,0.0,34,35.0,11
5,4,5,53,50.99999999999998,1.0,3.0,0.0,35,35.0,47
